k       TPCC        HC-WO       HC-MW       LC-WO       LC-MW
5       9265.63     5708.3      5926.2      6349.21     6872.28
10      9157.93     5669.95     5520.18     7564.72     6879.89
15      8711        5857.02     6025.35     7069.93     8824.01
20      8483.45     5789.01     6009.5      8965.48     9633.13
25      8472.9      5835.8      5668.38     9161.82     9940.51
30      8369.1      5726.63     6003.94     10892.9     10392.3
35      8533.32     5609.26     5917.61     10649.5     10198.4
40      8594.72     5787.14     5608.16     11135.2     9916.97
45      8487.91     5847.98     5940.54     10753.8     10596.1
50      8377.47     5802.94     6008.19     10597.5     10089.7
